time,open,high,low,close,tick_volume,spread,real_volume,anchor_swing_high,anchor_swing_low,anchor_midpoint,bias,setup_id,setup_dir,sweep_time,sweep_price,bos_time,bos_price,entry_level,sl_level,tp_level,fvg_low,fvg_high,entry_in_fvg
2026-04-16 05:00:00,4817.87,4825.06,4817.33,4821.26,2441,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 05:15:00,4821.01,4823.57,4818.87,4818.95,1772,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 05:30:00,4819.33,4821.53,4812.35,4817.08,2544,14,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 05:45:00,4817.5,4821.04,4815.35,4819.59,2184,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 06:00:00,4819.59,4827.23,4819.05,4826.46,1985,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 06:15:00,4826.65,4826.82,4822.5,4823.73,1629,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 06:30:00,4823.73,4826.02,4818.71,4820.59,1598,14,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 06:45:00,4820.62,4826.69,4820.62,4824.26,1167,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 07:00:00,4824.14,4827.35,4822.7,4827.0,1363,14,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 07:15:00,4827.0,4829.99,4825.68,4826.58,1414,14,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 07:30:00,4826.58,4831.35,4824.66,4830.64,1259,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 07:45:00,4830.67,4833.46,4829.45,4833.19,1304,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 08:00:00,4833.2,4838.31,4832.64,4834.34,1932,18,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 08:15:00,4834.35,4836.33,4831.52,4833.1,1693,17,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 08:30:00,4833.19,4833.93,4824.49,4825.32,2654,13,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 08:45:00,4825.22,4829.35,4820.96,4821.41,2406,16,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 09:00:00,4821.39,4827.65,4821.26,4822.92,2388,16,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 09:15:00,4822.9,4825.06,4814.9,4816.15,2597,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 09:30:00,4816.29,4824.97,4814.72,4824.33,2679,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 09:45:00,4824.32,4830.5,4822.41,4826.16,2853,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 10:00:00,4826.69,4831.07,4823.03,4824.92,2610,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 10:15:00,4824.95,4829.67,4817.07,4828.13,2469,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 10:30:00,4828.09,4830.23,4824.6,4827.4,1983,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 10:45:00,4827.4,4828.18,4819.27,4821.11,1978,15,0,4830.5,4786.12,4808.3099999999995,-1,326.0,-1.0,2026-04-16 10:00:00,4831.07,2026-04-16 10:45:00,4821.11,4827.26528,4831.07,4821.11,,,False
2026-04-16 11:00:00,4821.29,4822.08,4807.18,4811.85,2644,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 11:15:00,4811.84,4814.98,4809.54,4811.42,2320,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 11:30:00,4811.36,4813.67,4806.78,4812.2,2220,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 11:45:00,4812.19,4814.53,4808.54,4813.71,1944,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 12:00:00,4813.67,4818.04,4811.69,4816.13,1907,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 12:15:00,4816.15,4817.07,4811.31,4813.03,1882,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 12:30:00,4812.85,4815.07,4806.81,4814.85,2104,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 12:45:00,4814.87,4815.34,4809.97,4813.0,2269,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 13:00:00,4813.0,4815.64,4806.95,4807.12,1987,10,0,4830.5,4786.12,4808.3099999999995,1,,,,,,,,,,,,False
2026-04-16 13:15:00,4807.12,4810.21,4805.03,4806.96,1918,10,0,4830.5,4786.12,4808.3099999999995,1,,,,,,,,,,,,False
2026-04-16 13:30:00,4806.97,4812.26,4805.06,4808.21,1933,10,0,4830.5,4786.12,4808.3099999999995,1,,,,,,,,,,,,False
2026-04-16 13:45:00,4808.21,4817.27,4806.67,4817.14,2123,11,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 14:00:00,4817.14,4820.78,4816.29,4817.51,2166,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 14:15:00,4817.6,4820.17,4815.5,4816.13,1883,11,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 14:30:00,4816.09,4819.99,4815.85,4817.75,1922,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 14:45:00,4817.73,4822.56,4816.21,4822.12,2055,11,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 15:00:00,4822.25,4823.22,4811.73,4817.47,2405,10,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 15:15:00,4817.47,4818.63,4813.93,4815.11,2126,12,0,4830.5,4786.12,4808.3099999999995,-1,327.0,-1.0,2026-04-16 15:00:00,4823.22,2026-04-16 15:15:00,4815.11,4820.12198,4823.22,4815.11,,,False
2026-04-16 15:30:00,4815.1,4820.78,4811.76,4817.06,2494,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 15:45:00,4816.99,4819.0,4813.93,4816.09,2124,12,0,4830.5,4786.12,4808.3099999999995,-1,,,,,,,,,,,,False
2026-04-16 16:00:00,4816.73,4822.82,4814.18,4817.48,2835,12,0,4838.31,4786.12,4812.215,-1,,,,,,,,,,,,False
2026-04-16 16:15:00,4817.5,4821.2,4815.23,4815.78,2518,12,0,4838.31,4786.12,4812.215,-1,,,,,,,,,,,,False
2026-04-16 16:30:00,4815.72,4823.81,4812.72,4816.4,3470,13,0,4838.31,4786.12,4812.215,-1,,,,,,,,,,,,False
2026-04-16 16:45:00,4816.38,4819.68,4784.13,4795.31,3612,11,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 17:00:00,4794.81,4805.51,4785.22,4800.93,3607,10,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 17:15:00,4801.1,4802.91,4790.82,4799.2,3438,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 17:30:00,4799.57,4800.77,4772.72,4787.59,3447,10,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 17:45:00,4787.25,4793.59,4785.63,4788.67,3405,10,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 18:00:00,4788.68,4812.99,4788.31,4806.77,3279,11,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 18:15:00,4806.87,4809.69,4801.7,4801.75,2920,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 18:30:00,4801.42,4811.02,4798.14,4802.95,3245,13,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 18:45:00,4802.99,4808.51,4800.82,4807.1,2849,11,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 19:00:00,4807.09,4810.34,4803.17,4804.88,2574,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 19:15:00,4804.91,4806.01,4796.6,4799.35,2534,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 19:30:00,4799.16,4799.98,4786.55,4790.16,3170,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 19:45:00,4789.99,4793.7,4785.21,4792.14,2864,10,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 20:00:00,4792.21,4795.49,4789.94,4791.58,2802,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 20:15:00,4791.21,4794.08,4784.61,4784.79,2937,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 20:30:00,4785.38,4789.52,4781.2,4786.96,2742,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 20:45:00,4786.98,4790.75,4782.59,4789.34,2703,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 21:00:00,4789.36,4794.16,4785.66,4790.08,3147,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 21:15:00,4790.08,4792.91,4786.79,4787.18,2744,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 21:30:00,4787.29,4791.38,4786.62,4790.34,2449,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 21:45:00,4790.34,4792.73,4788.16,4789.77,2250,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 22:00:00,4789.77,4795.22,4789.51,4789.98,2359,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 22:15:00,4790.01,4793.99,4790.0,4790.92,2167,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 22:30:00,4790.94,4798.01,4790.6,4797.5,2332,12,0,4838.31,4786.12,4812.215,1,328.0,1.0,2026-04-16 21:30:00,4786.62,2026-04-16 22:30:00,4797.5,4790.77616,4786.62,4797.5,,,False
2026-04-16 22:45:00,4797.83,4798.7,4792.3,4793.78,2410,12,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 23:00:00,4793.75,4793.92,4789.82,4790.43,1445,20,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 23:15:00,4790.43,4791.76,4788.35,4789.04,1120,23,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 23:30:00,4789.04,4790.45,4786.52,4788.51,1090,23,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-16 23:45:00,4788.51,4790.98,4787.72,4790.97,1184,23,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-17 01:00:00,4794.55,4797.85,4791.63,4795.22,1590,23,0,4838.31,4786.12,4812.215,1,329.0,1.0,2026-04-16 23:30:00,4786.52,2026-04-17 01:00:00,4795.22,4789.843400000001,4786.52,4795.22,4790.45,4791.63,False
2026-04-17 01:15:00,4795.32,4796.26,4792.45,4793.83,1121,23,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
2026-04-17 01:30:00,4793.83,4796.34,4790.47,4795.46,1336,23,0,4838.31,4786.12,4812.215,1,,,,,,,,,,,,False
