entry_time,exit_time,entry,tp_price,sl_price,exit,result,exit_reason,duration,duration_minutes,pnl
2025-09-14 03:45:00,2025-09-14 04:00:00,115800.83628,115960.41,115757.39,115757.39,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-14 04:00:00,2025-09-14 04:15:00,115800.83628,115960.41,115757.39,115757.39,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-14 04:30:00,2025-09-14 05:00:00,115742.09064,115960.41,115682.65,115960.41,Win,TP,0 days 00:30:00,30.0,367.2897196261783
2025-09-14 05:30:00,2025-09-14 06:00:00,115766.6771,116075.3,115682.65,115682.65,Loss,SL,0 days 00:30:00,30.0,-99.99999999999999
2025-09-14 06:00:00,2025-09-14 07:00:00,115685.64050000001,116075.3,115579.55,115579.55,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-14 07:15:00,2025-09-15 02:15:00,115548.55424,116075.3,115405.14,115405.14,Loss,SL,0 days 19:00:00,1140.0,-100.0
2025-09-15 04:45:00,2025-09-15 07:15:00,115048.9506,116049.45,114776.55,116049.45,Win,TP,0 days 02:30:00,150.0,367.2897196261771
2025-09-15 11:45:00,2025-09-15 12:00:00,115194.0319,116727.4,114776.55,114776.55,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-15 15:15:00,2025-09-15 15:45:00,114792.16047999999,115164.19,114690.87,114690.87,Loss,SL,0 days 00:30:00,30.0,-100.0
2025-09-15 15:45:00,2025-09-15 16:00:00,114792.16047999999,115164.19,114690.87,114690.87,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-15 16:30:00,2025-09-15 18:15:00,114490.71416,115045.19,114339.75,114339.75,Loss,SL,0 days 01:45:00,105.0,-100.00000000000001
2025-09-15 18:30:00,2025-09-15 20:45:00,114490.3526,115045.19,114339.29,115045.19,Win,TP,0 days 02:15:00,135.00000000000003,367.2897196261593
2025-09-16 01:00:00,2025-09-16 03:15:00,115227.92584,115549.84,115140.28,115140.28,Loss,SL,0 days 02:15:00,135.00000000000003,-100.0
2025-09-16 03:45:00,2025-09-16 04:15:00,115003.92984000001,115424.88,114889.32,115424.88,Win,TP,0 days 00:30:00,30.0,367.28971962614736
2025-09-16 04:45:00,2025-09-16 07:15:00,115064.59939999999,115490.69,114948.59,114948.59,Loss,SL,0 days 02:30:00,150.0,-100.0
2025-09-16 07:15:00,2025-09-16 07:45:00,114976.25802,115380.6,114866.17,115380.6,Win,TP,0 days 00:30:00,30.0,367.2897196261938
2025-09-16 09:30:00,2025-09-16 11:30:00,115636.86734000001,115968.41,115546.6,115546.6,Loss,SL,0 days 02:00:00,120.0,-100.0
2025-09-16 11:30:00,2025-09-16 12:45:00,115567.85844,115945.5,115465.04,115465.04,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-16 15:45:00,2025-09-16 16:30:00,115320.5907,115945.5,115150.45,115150.45,Loss,SL,0 days 00:45:00,45.0,-100.00000000000001
2025-09-16 16:30:00,2025-09-16 16:45:00,115227.50712,115510.53,115150.45,115150.45,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-16 16:45:00,2025-09-16 18:45:00,114846.82373999999,115510.53,114666.12,115510.53,Win,TP,0 days 02:00:00,120.0,367.2897196261774
2025-09-16 21:30:00,2025-09-16 23:15:00,116308.00398000001,116829.57,116166.0,116829.57,Win,TP,0 days 01:45:00,105.0,367.28971962614486
2025-09-17 02:45:00,2025-09-17 03:45:00,116612.31702,116866.14,116543.21,116543.21,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-17 03:45:00,2025-09-17 04:00:00,116612.31702,116866.14,116543.21,116543.21,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-17 04:15:00,2025-09-17 05:30:00,116507.4798,116720.25,116449.55,116720.25,Win,TP,0 days 01:15:00,75.0,367.2897196261788
2025-09-17 06:00:00,2025-09-17 06:15:00,116575.6495,117038.8,116449.55,116449.55,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-17 06:15:00,2025-09-17 06:30:00,116575.6495,117038.8,116449.55,116449.55,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-17 13:15:00,2025-09-17 15:30:00,116350.13072,117244.19,116106.71,116106.71,Loss,SL,0 days 02:15:00,135.00000000000003,-100.0
2025-09-17 15:30:00,2025-09-17 15:45:00,116187.65550000001,116484.96,116106.71,116106.71,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-17 16:30:00,2025-09-17 16:45:00,116187.65550000001,116484.96,116106.71,116106.71,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-17 18:15:00,2025-09-17 19:30:00,115636.03284,116484.96,115404.9,115404.9,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-17 19:30:00,2025-09-17 19:45:00,115497.42076,115837.24,115404.9,115404.9,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-17 20:45:00,2025-09-17 21:00:00,115434.62722,115837.24,115325.01,115837.24,Win,TP,0 days 00:15:00,15.0,367.2897196261774
2025-09-17 21:30:00,2025-09-17 21:45:00,115535.78288,116309.93,115325.01,115325.01,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-18 03:15:00,2025-09-18 06:00:00,116226.94384,116939.5,116032.94,116939.5,Win,TP,0 days 02:45:00,165.0,367.2897196261553
2025-09-18 07:30:00,2025-09-18 08:30:00,117320.53694,117865.4,117172.19,117172.19,Loss,SL,0 days 01:00:00,60.0,-100.0
2025-09-18 11:00:00,2025-09-18 11:15:00,117003.54884,117163.94,116959.88,117163.94,Win,TP,0 days 00:15:00,15.0,367.2897196261795
2025-09-18 11:45:00,2025-09-18 14:45:00,117048.47172,117373.86,116959.88,116959.88,Loss,SL,0 days 03:00:00,180.0,-100.0
2025-09-18 14:45:00,2025-09-18 15:00:00,117076.25056,117263.35,117025.31,117025.31,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-18 15:00:00,2025-09-18 16:00:00,116993.1625,117263.35,116919.6,117263.35,Win,TP,0 days 01:00:00,60.0,367.2897196261682
2025-09-18 16:45:00,2025-09-18 17:00:00,117020.4367,117263.35,116954.3,117263.35,Win,TP,0 days 00:15:00,15.0,367.2897196261532
2025-09-18 20:30:00,2025-09-18 21:00:00,117445.88034,117749.52,117363.21,117749.52,Win,TP,0 days 00:30:00,30.0,367.2897196261827
2025-09-18 22:15:00,2025-09-18 22:30:00,117472.46342,117873.74,117363.21,117363.21,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-18 22:30:00,2025-09-19 01:45:00,117291.0782,117873.74,117132.44,117132.44,Loss,SL,0 days 03:15:00,195.0,-100.0
2025-09-19 01:45:00,2025-09-19 02:00:00,117233.79682,117606.07,117132.44,117132.44,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-19 02:00:00,2025-09-19 12:45:00,116736.22738,117606.07,116499.4,116499.4,Loss,SL,0 days 10:45:00,645.0,-100.0
2025-09-19 14:00:00,2025-09-19 14:15:00,116396.15752000001,116501.23,116367.55,116367.55,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-19 14:15:00,2025-09-19 14:30:00,116396.15752000001,116501.23,116367.55,116367.55,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-19 15:15:00,2025-09-19 15:30:00,116393.3049,116487.9,116367.55,116367.55,Loss,SL,0 days 00:15:00,15.0,-100.0
2025-09-19 16:30:00,2025-09-19 17:45:00,116117.4189,116487.9,116016.55,116016.55,Loss,SL,0 days 01:15:00,75.0,-100.0
2025-09-19 18:00:00,2025-09-19 21:00:00,115630.2064,116445.76,115408.16,115408.16,Loss,SL,0 days 03:00:00,180.0,-100.0
2025-09-19 21:45:00,2025-09-19 22:00:00,115448.24006,115595.45,115408.16,115408.16,Loss,SL,0 days 00:15:00,15.0,-100.0
